"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-08-28_21-15-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-22_20-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-18_11-30-01","26.0","5.0","9.0","12.0","13","1"
"192_168_4_5-2020-09-07_11-30-01","1474.0","649.0","695.0","130.0","15","5"
"192_168_4_5-2020-09-15_19-30-01","1.0","0.0","0.0","1.0","13","1"
"192_168_4_5-2020-08-31_10-45-01","14.0","2.0","3.0","9.0","13","1"
"192_168_4_5-2020-09-13_19-00-01","194.0","32.0","152.0","10.0","13","1"
"192_168_4_5-2020-09-24_13-15-01","1722.0","765.0","778.0","179.0","21","5"
"192_168_4_5-2020-09-06_19-45-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-23_19-15-01","1.0","0.0","0.0","1.0","13","1"
"192_168_4_5-2020-09-23_13-15-01","740.0","329.0","343.0","68.0","21","5"
"192_168_4_5-2020-08-27_10-30-01","1388.0","629.0","571.0","188.0","13","5"
"192_168_4_5-2020-08-24_15-30-01","3146.0","1269.0","1378.0","499.0","15","5"
"192_168_4_5-2020-09-27_09-00-01","110.0","41.0","46.0","23.0","13","3"
"192_168_4_5-2020-09-23_12-15-01","1067.0","508.0","511.0","48.0","23","1"
"192_168_4_5-2020-09-05_12-00-01","500.0","208.0","256.0","36.0","23","1"
